text,label
Cool nail but I dont bite on mine (created at:2012-08-07 03:46:09),non-cyberbullying
@offthis_ way to be a asshole (created at:2012-11-24 03:57:26),cyberbullying
They are ugly (created at:2013-01-09 15:35:17),cyberbullying
T,non-cyberbullying
Wooow (created at:2013-02-13 21:56:42),non-cyberbullying
They stink don't even try (created at:2013-04-02 23:13:48),non-cyberbullying
@emilyreeves8 YOU SUCK go step on a lego (created at:2013-04-02 23:14:34),non-cyberbullying
"@naildiys ummmm, ok?? i dont know you. no need to be a jerk (created at:2013-04-05 23:40:20)",non-cyberbullying
"Well.... @emilyreeves8 maybe you should tell people to stop cursing k,K! Thx love u bestieeee (created at:2013-04-06 01:26:59)",non-cyberbullying
"@naildiys im really confused by me telling people to stop cursing. and i wouldnt be bestiessss with someone who told me to step on a lego, so ya. idk why you find the need to be rude when i was telling someone not to be mean. so ya (created at:2013-04-06 03:45:29)",non-cyberbullying
I didn't put that my partner did so booomm and were being scarcastic duh! So boom @emilyreeves8 (created at:2013-04-06 12:13:02),non-cyberbullying
UR THE ONE CURSING UR JUST AS BAD AS HIM SO BOOM @emilyreeves8 (created at:2013-04-06 12:14:01),non-cyberbullying
"@naildiys ok, i think you need to calm down. and asshole isnt a bad word astually. it pretty much mean donkey hole so ya. bye bye (created at:2013-04-06 16:14:19)",non-cyberbullying
U go @emilyreeves8 (created at:2013-06-30 23:27:29),non-cyberbullying
Ya I fuck wit dat #R00R (created at:2012-02-13 12:43:00),cyberbullying
I had one like that #ROORs are the bomb (created at:2012-02-13 12:43:50),non-cyberbullying
@treejtv new and it's already got resin building up in the downstem. #fuckyes #toodope #gohard (created at:2012-02-13 12:44:43),non-cyberbullying
rip that muhh (created at:2012-02-13 12:59:19),non-cyberbullying
R00OOooOR __”___”¥ @treejtv (created at:2012-02-13 13:11:19),non-cyberbullying
Probs smokes realz good (created at:2012-02-13 13:17:55),non-cyberbullying
I had that bong. It hits soooo nice. Instant head change _†_ (created at:2012-02-13 15:29:38),non-cyberbullying
"Fuck roor, you guys out maken thousands... Buy a mgw or toro.... Fuck that poop bong that's sucker shit... (created at:2012-02-13 15:38:09)",non-cyberbullying
Don't hate cuz you ain't doin it like them.. Real talk. (created at:2012-02-13 16:00:00),non-cyberbullying
PASS IT. SMOKE IT. (created at:2012-02-13 16:11:31),non-cyberbullying
Needs a inline perc off that stem (created at:2012-02-13 16:23:53),non-cyberbullying
@treejtv I wish Mac would buy me a bong (created at:2012-02-13 16:29:52),non-cyberbullying
Roors are the shit you're wack (created at:2012-02-13 18:22:18),non-cyberbullying
Brimmers with treejay (created at:2012-02-13 20:23:06),non-cyberbullying
Lol 420 likes !!!!! #MOST DOPE! (created at:2012-02-13 21:52:44),non-cyberbullying
Cause he's the man and knows what's up. (created at:2012-02-14 18:42:29),non-cyberbullying
ahah sick got the same one with blue writing! (created at:2012-03-03 18:03:13),non-cyberbullying
E and my nigga tree jay fuck with thy dank weed (created at:2012-03-13 06:37:19),non-cyberbullying
Roors don't suck u do lol (created at:2012-04-08 19:26:56),non-cyberbullying
I have that!!!! Haha<3 (created at:2012-05-07 00:18:06),non-cyberbullying
What a fag! (created at:2012-02-28 01:07:32),non-cyberbullying
Uht oh someones in trouble! (created at:2012-02-28 01:07:39),non-cyberbullying
Smack him roach (created at:2012-02-28 01:08:54),non-cyberbullying
Can't stand fucking thieves (created at:2012-02-28 01:11:53),non-cyberbullying
